"gene","predicted_probability","aging_effect","external_gene_source","ensembl_gene_id","gene_biotype","description"
"VPS34",0.997,"anti_longevity","SGD gene name","YLR240W","protein_coding","Phosphatidylinositol (PI) 3-kinase that synthesizes PI-3-phosphate; forms membrane-associated signal transduction complex with Vps15p to regulate protein sorting; activated by the GTP-bound form of Gpa1p; a fraction is localized, with Vps15p, to nuclear pores at nucleus-vacuole junctions and may facilitate transcription elongation for genes positioned at the nuclear periphery [Source:SGD;Acc:S000004230]"
"VPS15",0.996,"anti_longevity","SGD gene name","YBR097W","protein_coding","Serine/threonine protein kinase involved in vacuolar protein sorting; functions as a membrane-associated complex with Vps34p; active form recruits Vps34p to the Golgi membrane; interacts with the GDP-bound form of Gpa1p; myristoylated; a fraction is localized, with Vps34p, to nuclear pores at nucleus-vacuole junctions and may facilitate transcription elongation for genes positioned at the nuclear periphery [Source:SGD;Acc:S000000301]"
"AKR1",0.996,"anti_longevity","SGD gene name","YDR264C","protein_coding","Palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats; AKR1 has a paralog, AKR2, that arose from the whole genome duplication [Source:SGD;Acc:S000002672]"
"AKR2",0.995,"anti_longevity","SGD gene name","YOR034C","protein_coding","Ankyrin repeat-containing protein; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain; possibly involved in constitutive endocytosis of Ste3p; AKR2 has a paralog, AKR1, that arose from the whole genome duplication [Source:SGD;Acc:S000005560]"
"ENV7",0.995,"anti_longevity","SGD gene name","YPL236C","protein_coding","Vacuolar membrane protein kinase; negatively regulates membrane fusion; associates with vacuolar membrane through palmitoylation of one or more cysteines in consensus sequence; vacuolar membrane association is essential to its kinase activity; mutant shows defect in CPY processing; ortholog of human serine/threonine kinase 16 (STK16) [Source:SGD;Acc:S000006157]"
"RPL37A",0.994,"anti_longevity","SGD gene name","YLR185W","protein_coding","Ribosomal 60S subunit protein L37A; homologous to mammalian ribosomal protein L37, no bacterial homolog; RPL37A has a paralog, RPL37B, that arose from the whole genome duplication [Source:SGD;Acc:S000004175]"
"RPL43A",0.994,"anti_longevity","SGD gene name","YPR043W","protein_coding","Ribosomal 60S subunit protein L43A; null mutation confers a dominant lethal phenotype; homologous to mammalian ribosomal protein L37A, no bacterial homolog; RPL43A has a paralog, RPL43B, that arose from the whole genome duplication [Source:SGD;Acc:S000006247]"
"RPS27A",0.993,"anti_longevity","SGD gene name","YKL156W","protein_coding","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S27, no bacterial homolog; RPS27A has a paralog, RPS27B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000001639]"
"RPS27B",0.993,"anti_longevity","SGD gene name","YHR021C","protein_coding","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S27, no bacterial homolog; RPS27B has a paralog, RPS27A, that arose from the whole genome duplication [Source:SGD;Acc:S000001063]"
"RPS29A",0.993,"anti_longevity","SGD gene name","YLR388W","protein_coding","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S29 and bacterial S14; RPS29A has a paralog, RPS29B, that arose from the whole genome duplication [Source:SGD;Acc:S000004380]"
